"Reference","Value","Datasheet","Footprint","Qty","DNP","CatNo","MfgNo"
"C1,C2,C3,C4","C_Small","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","4","","",""
"D1,D2,D3,D4,D5,D6,D7,D8","LED","~","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","8","","",""
"J1,J2","Conn_01x08","~","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","2","","",""
"J3","Conn_01x10","~","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical","1","","",""
"Q3,Q4","NMOS","https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#cha_MOSFETs","Package_TO_SOT_SMD:SOT-23","2","","DMN2046U-7DICT-ND","DMN2046U-7"
"R1,R3,R4,R5,R6,R7,R8,R9","470","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","8","","",""
"R2","R_US","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1","","",""
"RV1","R_Potentiometer_US","~","Potentiometer_THT:Potentiometer_ACP_CA6-H2,5_Horizontal","1","","",""
"U1","74LS02","http://www.ti.com/lit/gpn/sn74ls02","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","1","","",""
"U3","74LS11","http://www.ti.com/lit/gpn/sn74LS11","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","1","","",""
"U6","LMC555xM","http://www.ti.com/lit/ds/symlink/lmc555.pdf","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1","","LM555CMX/NOPBCT-ND","LM555CMX/NOPB"
