534,-69,-43,-34,-2141,467,7996
518,-66,-43,-35,-2138,468,7997
504,-67,-43,-34,-2137,467,7998
476,-67,-41,-37,-2137,468,7996
470,-72,-41,-35,-2137,466,7996
458,1469,-312,-897,-1970,569,8107
413,-847,1399,-1950,509,-393,8592
666,4074,-2457,245,822,-350,8347
748,1,-264,-614,1006,-1125,8258
728,171,-86,86,1075,-393,8039
699,62,-299,-125,1012,-401,8342
691,123,-128,-115,997,-262,8304
689,-372,-567,56,1291,-349,8265
698,20,-253,-322,1072,-562,8292
689,-122,112,-93,872,-411,8232
705,-49,-33,-40,808,-441,8320
701,-320,-1196,-310,818,-471,8340
722,-2475,1499,-1560,-126,-1825,8078
860,6077,4187,2628,-4821,-1303,6381
1010,-8971,20873,-2054,-7747,-1772,265
936,383,673,363,235,521,-8280
879,261,-261,38,-141,-34,-8087
856,-177,623,10,98,137,-8088
833,-533,15,425,-146,249,-8221
817,16,-150,-171,98,376,-8097
794,-568,422,24,131,484,-8120
782,-184,39,-113,488,635,-8173
780,334,-461,389,400,676,-8122
784,-137,189,132,253,728,-8080
760,-73,-936,-313,245,600,-8051
760,-24,-250,-197,-26,695,-8138
761,-337,-719,-77,-175,615,-7946
776,-656,-1221,-1185,-7809,479,1574
769,6,-33,282,-8316,-160,56
783,453,-43,262,-8172,-71,301
786,93,-83,-118,-8136,51,160
786,-163,-140,-235,-8013,19,63
792,-71,46,-72,-8286,101,229
815,23,16,-13,-8214,125,321
809,-19,-92,-272,-8195,72,245
802,-87,-142,-146,-8198,30,109
819,1321,-2884,-693,-8152,-153,460
0,0,0,0,0,0,0
922,-51,-68,136,8097,-670,604
922,-16,106,24,8098,-587,378
943,102,174,-565,8236,-1007,781
961,-66,102,-18,8162,-658,680
974,40,-78,-78,8171,-749,830
969,-40,-62,91,8105,-654,835
978,25,-221,62,8127,-704,1202
992,28,48,-122,8189,-639,1056
998,-608,1292,-4681,7886,-27,1156
0,0,0,0,0,0,0
950,-28,103,-477,884,7858,2111
996,-76,-78,-127,783,7802,2098
1002,15,-4,-20,650,7699,2197
1009,-5,-72,-62,735,7761,2260
1004,-41,-229,-177,590,7752,2257
1007,-149,-228,129,600,7876,2198
1031,205,-160,-90,437,7792,2047
1049,13,18,-228,503,7785,2125
1048,27,-142,-56,325,7773,2162
1048,88,-93,297,285,7775,2215
1062,-4793,-36,29034,6204,89,2447
1084,-1364,-1081,-3446,-985,-8165,124
1117,-122,-5,-332,521,-8331,282
1132,35,77,38,157,-8400,287
1153,-259,-56,7,305,-8332,256
1161,-54,-79,-13,391,-8377,259
1179,-114,-8,-126,339,-8349,271
1198,18,-80,-121,506,-8388,222
1184,-62,19,120,410,-8399,157
1202,-32,-11,-77,426,-8391,190
1219,-24,28,52,459,-8395,180
1234,-42,9,-170,494,-8346,223
1235,403,1685,-314,-145,-817,7990
1235,282,-331,-77,-378,-437,8134
1229,-144,-196,-79,-297,-284,8123
1223,-28,-207,-142,-194,-312,8257
1227,8,-59,-146,-143,-290,8240
1223,-29,-147,-91,-65,-252,8282
1238,-78,-127,-8,-100,-207,8314
1241,-68,-106,-138,8,-196,8303
1235,13,-38,109,-62,-229,8305
1227,1617,-3321,-467,308,-5,8529
1200,-113,115,304,-2745,176,7782
1174,-129,33,-34,-2779,102,7783
1157,-128,-34,-33,-2827,78,7783
